datetime,event,severity
2024-11-01 22:32:30,Service timeout while processing request,Low
2024-11-01 22:31:30,Service timeout while processing request,Low
2024-11-01 22:30:30,Unexpected shutdown of server,High
2024-11-01 22:29:30,Unauthorized access attempt detected,Low
2024-11-01 22:28:30,Service timeout while processing request,Low
2024-11-01 22:27:30,Unexpected shutdown of server,High
2024-11-01 22:26:30,Disk space critically low,Low
2024-11-01 22:25:30,File not found error,Low
2024-11-01 22:24:30,Unauthorized access attempt detected,Low
2024-11-01 22:23:30,Unexpected shutdown of server,Low
2024-11-01 22:22:30,Null reference exception occurred,High
2024-11-01 22:21:30,Disk space critically low,Low
2024-11-01 22:20:30,File not found error,Low
2024-11-01 22:19:30,API response time exceeded threshold,Low
2024-11-01 22:18:30,Unauthorized access attempt detected,Low
2024-11-01 22:17:30,Unauthorized access attempt detected,High
2024-11-01 22:16:30,Failed to connect to database,Medium
2024-11-01 22:15:30,API response time exceeded threshold,Low
2024-11-01 22:14:30,File not found error,High
2024-11-01 22:13:30,Disk space critically low,High
2024-11-01 22:12:30,File not found error,Medium
2024-11-01 22:11:30,File not found error,Low
2024-11-01 22:10:30,File not found error,Low
2024-11-01 22:09:30,Unauthorized access attempt detected,Low
2024-11-01 22:08:30,Disk space critically low,Low
2024-11-01 22:07:30,Memory leak detected in application,High
2024-11-01 22:06:30,Null reference exception occurred,Medium
2024-11-01 22:05:30,Memory leak detected in application,Low
2024-11-01 22:04:30,Unauthorized access attempt detected,High
2024-11-01 22:03:30,Unauthorized access attempt detected,Medium
2024-11-01 22:02:30,Unexpected shutdown of server,Low
2024-11-01 22:01:30,Configuration file not found,Low
2024-11-01 22:00:30,API response time exceeded threshold,Low
2024-11-01 21:59:30,Memory leak detected in application,Low
2024-11-01 21:58:30,Failed to connect to database,Medium
2024-11-01 21:57:30,API response time exceeded threshold,High
2024-11-01 21:56:30,Disk space critically low,High
2024-11-01 21:55:30,Configuration file not found,Low
2024-11-01 21:54:30,Configuration file not found,High
2024-11-01 21:53:30,Unexpected shutdown of server,Medium
2024-11-01 21:52:30,Failed to connect to database,Medium
2024-11-01 21:51:30,API response time exceeded threshold,High
2024-11-01 21:50:30,Null reference exception occurred,High
2024-11-01 21:49:30,Unauthorized access attempt detected,Low
2024-11-01 21:48:30,Memory leak detected in application,Medium
2024-11-01 21:47:30,Null reference exception occurred,Low
2024-11-01 21:46:30,File not found error,High
2024-11-01 21:45:30,Unauthorized access attempt detected,Medium
2024-11-01 21:44:30,Disk space critically low,Medium
2024-11-01 21:43:30,Memory leak detected in application,High
2024-11-01 21:42:30,File not found error,Medium
2024-11-01 21:41:30,Null reference exception occurred,Medium
2024-11-01 21:40:30,Null reference exception occurred,Medium
2024-11-01 21:39:30,Unexpected shutdown of server,High
2024-11-01 21:38:30,Memory leak detected in application,Medium
2024-11-01 21:37:30,Null reference exception occurred,Medium
2024-11-01 21:36:30,Null reference exception occurred,Medium
2024-11-01 21:35:30,API response time exceeded threshold,Low
2024-11-01 21:34:30,Service timeout while processing request,High
2024-11-01 21:33:30,File not found error,Medium
2024-11-01 21:32:30,Memory leak detected in application,Low
2024-11-01 21:31:30,Service timeout while processing request,Low
2024-11-01 21:30:30,Null reference exception occurred,Medium
2024-11-01 21:29:30,Memory leak detected in application,Medium
2024-11-01 21:28:30,Unauthorized access attempt detected,Low
2024-11-01 21:27:30,Null reference exception occurred,Low
2024-11-01 21:26:30,Null reference exception occurred,High
2024-11-01 21:25:30,API response time exceeded threshold,Low
2024-11-01 21:24:30,Service timeout while processing request,Low
2024-11-01 21:23:30,Unexpected shutdown of server,High
2024-11-01 21:22:30,Configuration file not found,Low
2024-11-01 21:21:30,API response time exceeded threshold,High
2024-11-01 21:20:30,Memory leak detected in application,High
2024-11-01 21:19:30,Configuration file not found,Low
2024-11-01 21:18:30,Memory leak detected in application,High
2024-11-01 21:17:30,Null reference exception occurred,Medium
2024-11-01 21:16:30,Memory leak detected in application,Medium
2024-11-01 21:15:30,Failed to connect to database,Medium
2024-11-01 21:14:30,Unexpected shutdown of server,Medium
2024-11-01 21:13:30,Failed to connect to database,High
2024-11-01 21:12:30,Disk space critically low,Low
2024-11-01 21:11:30,Memory leak detected in application,Medium
2024-11-01 21:10:30,Null reference exception occurred,Medium
2024-11-01 21:09:30,Null reference exception occurred,High
2024-11-01 21:08:30,API response time exceeded threshold,High
2024-11-01 21:07:30,Null reference exception occurred,Low
2024-11-01 21:06:30,File not found error,High
2024-11-01 21:05:30,API response time exceeded threshold,Medium
2024-11-01 21:04:30,Disk space critically low,Medium
2024-11-01 21:03:30,Unauthorized access attempt detected,Low
2024-11-01 21:02:30,Failed to connect to database,Low
2024-11-01 21:01:30,File not found error,High
2024-11-01 21:00:30,File not found error,High
2024-11-01 20:59:30,Disk space critically low,Low
2024-11-01 20:58:30,Configuration file not found,Medium
2024-11-01 20:57:30,Memory leak detected in application,Medium
2024-11-01 20:56:30,API response time exceeded threshold,Medium
2024-11-01 20:55:30,Disk space critically low,Medium
2024-11-01 20:54:30,Memory leak detected in application,Medium
2024-11-01 20:53:30,Unexpected shutdown of server,Medium
